company_name,status,size,suburb/town,state,ABN,URL
Sunshine Beach Surf Life Saving Club Inc,"
            Registered          ","
            Large          ","
            Sunshine Beach          ","
            QLD          ",86489039083,https://www.acnc.gov.au/charity/b37065075e630f16f18b8bdec93a24d7
Sussex Inlet & District Surf Lifesaving Club Inc,"
            Registered          ","
            Small          ","
            Sussex Inlet          ","
            NSW          ",16937816547,https://www.acnc.gov.au/charity/744af18824bce345fb5034310cf392c2
Swansea-Belmont Surf Life Saving Club Limited,"
            Registered          ","
            Medium          ","
            Blacksmiths          ","
            NSW          ",54087305048,https://www.acnc.gov.au/charity/483a0143f62f81248f0166597837ea29
Tannum Sands Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            Tannum Sands          ","
            QLD          ",29420390312,https://www.acnc.gov.au/charity/40692ee50f2c890c9bf334662eead8ab
Terrigal Surf Life Saving Club Incorporated,"
            Voluntarily revoked          ","
            Information Unavailable          ","
            Information Unavailable          ","
            Information Unavailable          ",80137041492,https://www.acnc.gov.au/charity/fa53d19b9ff4221f8282f5d11391428d
The Port Campbell Surf Life Saving Club Incorporated,"
            Registered          ","
            Medium          ","
            Port Campbell          ","
            VIC          ",24803275680,https://www.acnc.gov.au/charity/56839667bde09d3195813bbb19283058
North Steyne Surf Life Saving Club Inc,"
            Registered          ","
            Medium          ","
            Manly          ","
            NSW          ",99734830191,https://www.acnc.gov.au/charity/43aae6547c55e8a6490784f5ce4f7bf4
Nowra Culburra Surf Life Saving Club,"
            Registered          ","
            Small          ","
            Culburra Beach          ","
            NSW          ",99115839023,https://www.acnc.gov.au/charity/a7388a19cc9b8d2db326d6645d533cc0
Ocean Grove Surf Life Saving Club Inc,"
            Registered          ","
            Large          ","
            Ocean Grove          ","
            VIC          ",94392258995,https://www.acnc.gov.au/charity/33ecd7891743b816119793f31c331ff4
Pacific Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            Palm Beach          ","
            QLD          ",24204476192,https://www.acnc.gov.au/charity/d1b466c2e7bdb82c9e140f902378cb6a
Palm Beach Surf Life Saving Club Inc,"
            Registered          ","
            Medium          ","
            Palm Beach          ","
            NSW          ",38070685763,https://www.acnc.gov.au/charity/147b9cc207b66de60c0ed0eb9f355b77
Pambula Beach Surf Life Saving Club Incorporated,"
            Registered          ","
            Small          ","
            Pambula Beach          ","
            NSW          ",83872472712,https://www.acnc.gov.au/charity/8af4a7802aafed37d0f2ecbed4bb31bd
Point Leo Surf Life Saving Club Incorporated,"
            Registered          ","
            Medium          ","
            Safety Beach          ","
            VIC          ",83471063765,https://www.acnc.gov.au/charity/e68183795fe2abe382387921d7b08e0f
Point Lookout Surf Lifesaving Club Inc,"
            Registered          ","
            Medium          ","
            Cleveland          ","
            QLD          ",67892838556,https://www.acnc.gov.au/charity/e3f4718a5434163c0949e0c988b5ac42
Port Elliot Surf Life Saving Club Inc.,"
            Registered          ","
            Small          ","
            Port Elliot          ","
            SA          ",44811071674,https://www.acnc.gov.au/charity/b239e1f5fe54bcdabc3de9ff208e6c4b
Port Macquarie Surf Life Saving Club Inc,"
            Registered          ","
            Medium          ","
            Port Macquarie          ","
            NSW          ",47032038365,https://www.acnc.gov.au/charity/a8cb9f4814d6a86706a78e1360cd64b6
Port Sorell Surf Life Saving Club,"
            Registered          ","
            Small          ","
            Hawley Beach          ","
            TAS          ",41825973960,https://www.acnc.gov.au/charity/82cd6be83b8eca3647418b78c2da8f6f
Portland Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            Portland          ","
            VIC          ",21171389185,https://www.acnc.gov.au/charity/f63e20ef7ba6345306393055c6a58d4c
Quinns Mindarie Surf Lifesaving Club Inc,"
            Registered          ","
            Medium          ","
            Quinns Rocks          ","
            WA          ",15674140779,https://www.acnc.gov.au/charity/3f4f2543ce86524e6c664c218fe534c8
Robe Surf Life Saving Club Incorporated,"
            Registered          ","
            Small          ","
            Robe          ","
            SA          ",58165806600,https://www.acnc.gov.au/charity/9a85a192b66aecf50321b2563c2b7838
Sandon Point Surf Life Saving Club Incorporated,"
            Registered          ","
            Small          ","
            Bulli          ","
            NSW          ",82856599137,https://www.acnc.gov.au/charity/785468bea04ab7c92024b02c556305bc
Scamander Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            Scamander          ","
            TAS          ",70209680163,https://www.acnc.gov.au/charity/fe4ac0b941a057121b29da4f45908e26
Scarborough Wombarra Surf Lifesaving Club Inc.,"
            Registered          ","
            Small          ","
            Wombarra          ","
            NSW          ",41120412951,https://www.acnc.gov.au/charity/7d5a962a5c41b2ef9148a59c7124d167
Seaspray Surf Life Saving Club Inc,"
            Registered          ","
            Medium          ","
            Seaspray          ","
            VIC          ",99744504944,https://www.acnc.gov.au/charity/6a604bdfb3de362ea5490d2d47b9d479
Semaphore Surf Life Saving Club Inc,"
            Registered          ","
            Medium          ","
            Port Adelaide Dc          ","
            SA          ",38803068615,https://www.acnc.gov.au/charity/b6e00ee2fa4fb03dcf343464d85104d4
Shelly Beach Surf Life Saving Club Incorporated,"
            Registered          ","
            Medium          ","
            Shelly Beach          ","
            NSW          ",75682049392,https://www.acnc.gov.au/charity/b3a0525f8f6e6f990aed6a509c5158c0
Soldiers Beach Surf Life Saving Club Inc,"
            Registered          ","
            Medium          ","
            Norah Head          ","
            NSW          ",74674215629,https://www.acnc.gov.au/charity/98b4b9664220ef4224f82320b7aa7a7e
Sorrento Surf Life Saving Club (Inc),"
            Registered          ","
            Medium          ","
            Sorrento          ","
            WA          ",70623378747,https://www.acnc.gov.au/charity/d1aac8e2ad30ca89dabc39785084d573
South Port Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            Information Unavailable          ","
            Information Unavailable          ",51114459582,https://www.acnc.gov.au/charity/16d58c8f49bc4e167551bf0282101c72
Stockton Surf Life Saving Club Inc.,"
            Registered          ","
            Small          ","
            Stockton          ","
            NSW          ",81952288466,https://www.acnc.gov.au/charity/85c127d09e4eefe4a6c856e49707dc7b
Surf Life Saving South Australia Club Foundation,"
            Revoked          ","
            Information Unavailable          ","
            Information Unavailable          ","
            Information Unavailable          ",38923552206,https://www.acnc.gov.au/charity/59e58e098b136474b7c1e90dae2d95f2
Swanbourne Nedlands Surf Life Saving Club Inc,"
            Registered          ","
            Medium          ","
            Swanbourne          ","
            WA          ",93949145477,https://www.acnc.gov.au/charity/6a781db93c6aab476e70300dfa7089dc
